Takamatsu,Tokushima,Ikeda,Kawanoe,Kochi,Muroto,Matsuyama,Uwajima,Nakamura
0,76,57,73,0,0,0,0,0,
76,0,74,0,0,128,0,0,0
57,74,0,26,82,0,0,0,0
73,0,26,0,87,0,95,0,0
0,0,82,87,0,83,127,148,128
0,128,0,0,83,0,0,0,0
0,0,0,95,127,0,0,92,0
0,0,0,0,148,0,92,0,87
0,0,0,0,128,0,0,87,0
